meriz_individual;prey;injured_binary;meriz_status;sex;prey_tube_time_sec;blAnatalantak_tube_time_sec;prey_tube_distAnatalantace;empty_tube_distAnatalantace;prey_tube_visits;empty_tube_visits
1;Pringleophaga;0;fed;F;600;289;10;14;1;2
2;Pringleophaga;0;fed;M;411;490;30;42;3;5
3;Pringleophaga;0;fed;F;540;541;40;40;4;6
4;Pringleophaga;0;fed;F;757;0;20;0;2;0
5;Pringleophaga;0;fed;F;141;188;20;10;2;1
6;Pringleophaga;0;fed;M;600;0;10;0;1;0
7;Pringleophaga;0;fed;F;600;0;10;0;1;0
8;Pringleophaga;0;fed;M;0;600;0;10;0;1
9;Pringleophaga;0;fed;M;129;277;10;10;1;1
10;Pringleophaga;0;fed;M;538;278;50;41;5;5
11;Pringleophaga;0;fed;F;709;644;20;20;2;2
12;Pringleophaga;0;fed;M;600;0;10;0;1;0
13;Pringleophaga;1;fed;M;373;100;43;18;6;3
14;Pringleophaga;1;fed;M;201;690;26;26;3;3
15;Pringleophaga;1;fed;F;0;261;0;7;0;1
16;Pringleophaga;1;fed;F;224;766;15;20;2;2
17;Pringleophaga;1;fed;M;35;746;10;30;1;3
18;Pringleophaga;1;fed;M;7;54;2;15;1;2
19;Pringleophaga;1;fed;M;0;600;0;10;0;1
20;Pringleophaga;1;fed;M;600;0;10;0;1;0
21;Pringleophaga;1;fed;M;0;646;0;20;0;2
22;Pringleophaga;1;fed;M;35;39;5;11;1;2
23;Pringleophaga;1;fed;M;16;53;5;7;1;2
24;Pringleophaga;1;fed;M;22;0;5;0;1;0
25;Anatalanta;0;fed;M;0;600;0;10;0;1
26;Anatalanta;0;fed;M;46;723;6;26;1;3
27;Anatalanta;0;fed;M;600;0;10;0;1;0
28;Anatalanta;0;fed;F;600;0;10;0;1;0
29;Anatalanta;0;fed;M;0;600;0;10;0;1
30;Anatalanta;0;fed;M;350;850;32;40;4;4
31;Anatalanta;0;fed;M;227;942;51;40;6;4
32;Anatalanta;0;fed;M;0;600;0;10;0;1
33;Anatalanta;0;fed;M;0;600;0;10;0;1
34;Anatalanta;0;fed;M;600;24;10;6;1;1
35;Anatalanta;0;fed;M;600;19;10;2;1;1
36;Anatalanta;0;fed;M;600;0;10;0;1;0
37;AnatalantaatalAnatalantata;1;fed;M;600;0;10;0;1;0
38;AnatalantaatalAnatalantata;1;fed;M;492;303;40;36;4;5
39;AnatalantaatalAnatalantata;1;fed;M;721;0;16;0;2;0
40;AnatalantaatalAnatalantata;1;fed;M;639;38;16;12;2;2
41;AnatalantaatalAnatalantata;1;fed;F;600;0;10;0;1;0
42;AnatalantaatalAnatalantata;1;fed;M;0;600;0;10;0;1
43;AnatalantaatalAnatalantata;1;fed;M;147;101;30;20;3;2
44;AnatalantaatalAnatalantata;1;fed;M;0;600;0;10;0;1
45;AnatalantaatalAnatalantata;1;fed;M;600;0;10;0;1;0
46;AnatalantaatalAnatalantata;1;fed;M;23;600;6;10;1;1
47;AnatalantaatalAnatalantata;1;fed;M;600;0;10;0;1;0
48;AnatalantaatalAnatalantata;1;fed;M;670;10;20;16;2;2
49;Pringleophaga;0;starved_1week;F;201;431;42;40;4;5
50;Pringleophaga;0;starved_1week;F;325;133;30;10;1;3
51;Pringleophaga;0;starved_1week;M;68;231;10;10;1;1
52;Pringleophaga;0;starved_1week;M;31;0;6;0;0;1
53;Pringleophaga;0;starved_1week;M;559;322;36;42;5;4
54;Pringleophaga;0;starved_1week;M;125;715;10;22;3;1
55;Pringleophaga;0;starved_1week;M ;609;103;16;10;2;1
56;Pringleophaga;0;starved_1week;F;9;98;2;10;1;1
57;Pringleophaga;0;starved_1week;M;371;570;20;20;2;2
58;Pringleophaga;0;starved_1week;F;139;379;20;32;2;4
59;Pringleophaga;0;starved_1week;M;61;0;10;0;1;0
60;Pringleophaga;0;starved_1week;M;397;510;36;31;4;4
61;Pringleophaga;1;starved_1week;M;821;205;20;16;2;2
62;Pringleophaga;1;starved_1week;F;514;719;30;20;3;2
63;Pringleophaga;1;starved_1week;M;394;464;46;40;5;4
64;Pringleophaga;1;starved_1week;M;600;74;10;3;1;1
65;Pringleophaga;1;starved_1week;M;0;600;0;10;0;1
66;Pringleophaga;1;starved_1week;M;0;600;0;10;0;1
67;Pringleophaga;1;starved_1week;M;600;0;10;0;1;0
68;Pringleophaga;1;starved_1week;M;600;432;10;6;1;1
69;Pringleophaga;1;starved_1week;F;600;0;10;0;1;0
70;Pringleophaga;1;starved_1week;F;600;0;10;0;1;0
71;Pringleophaga;1;starved_1week;F;120;815;10;30;1;3
72;Pringleophaga;1;starved_1week;M;429;346;20;16;2;2
73;Anatalanta;0;starved_1week;M;89;183;10;7;1;1
74;Anatalanta;0;starved_1week;F;0;600;0;10;0;1
75;Anatalanta;0;starved_1week;M;247;199;26;20;3;2
76;Anatalanta;0;starved_1week;F;55;53;10;10;1;1
77;Anatalanta;0;starved_1week;M;202;134;40;30;4;3
78;Anatalanta;0;starved_1week;M;0;253;0;13;0;2
79;Anatalanta;0;starved_1week;F;68;0;16;0;2;0
80;Anatalanta;0;starved_1week;M;600;0;10;0;1;0
81;Anatalanta;0;starved_1week;F;184;194;20;18;2;3
82;Anatalanta;0;starved_1week;F;600;0;10;0;1;0
83;Anatalanta;0;starved_1week;M;1030;43;30;10;3;1
84;Anatalanta;0;starved_1week;M;600;0;10;0;1;0
85;AnatalantaatalAnatalantata;1;starved_1week;F;290;680;40;62;4;7
86;AnatalantaatalAnatalantata;1;starved_1week;F;323;387;30;46;3;5
87;AnatalantaatalAnatalantata;1;starved_1week;F;158;1079;10;50;1;5
88;AnatalantaatalAnatalantata;1;starved_1week;F;408;759;50;46;5;5
89;AnatalantaatalAnatalantata;1;starved_1week;F;0;129;0;10;0;1
90;AnatalantaatalAnatalantata;1;starved_1week;M;367;201;20;16;2;2
91;AnatalantaatalAnatalantata;1;starved_1week;M;600;0;10;0;1;0
92;AnatalantaatalAnatalantata;1;starved_1week;M;600;0;10;0;1;0
93;AnatalantaatalAnatalantata;1;starved_1week;F;0;620;0;13;0;2
94;AnatalantaatalAnatalantata;1;starved_1week;F;0;53;0;3;0;1
95;AnatalantaatalAnatalantata;1;starved_1week;M;335;436;30;26;3;3
96;AnatalantaatalAnatalantata;1;starved_1week;M;452;248;46;20;5;2
